ds,y
2018/4/14 0:00,2373425.617
2018/4/14 1:00,2659968.383
2018/4/14 2:00,4279829.614
2018/4/14 3:00,3650702.683
2018/4/14 4:00,2867494.583
2018/4/14 5:00,2667692.475
2018/4/14 6:00,3052212.45
2018/4/14 7:00,2415344.3
2018/4/14 8:00,1424621.417
2018/4/14 9:00,2077376
2018/4/14 10:00,3110111.317
2018/4/14 11:00,3581321.895
2018/4/14 12:00,3474489.729
2018/4/14 13:00,2962347.273
2018/4/14 14:00,3588725.074
2018/4/14 15:00,3817865.849
2018/4/14 16:00,3968127.897
2018/4/14 17:00,3219033.305
2018/4/14 18:00,3227506.633
2018/4/14 19:00,2748489.217
2018/4/14 20:00,4008692.7
2018/4/14 21:00,2907803.35
2018/4/14 22:00,3171926.81
2018/4/14 23:00,2786210.4
2018/4/15 0:00,3181356.15
2018/4/15 1:00,3295914.4
2018/4/15 2:00,4129925.567
2018/4/15 3:00,4214679.133
2018/4/15 4:00,4357317.867
2018/4/15 5:00,4611494.717
2018/4/15 6:00,5099003.895
2018/4/15 7:00,3019008.8
2018/4/15 8:00,2303126.983
2018/4/15 9:00,3058011.8
2018/4/15 10:00,4116766.45
2018/4/15 11:00,3415472.7
2018/4/15 12:00,2702200.083
2018/4/15 13:00,3095271.966
2018/4/15 14:00,3801319.983
2018/4/15 15:00,2628023.683
2018/4/15 16:00,4717095.783
2018/4/15 17:00,3735910.683
2018/4/15 18:00,4165553.528
2018/4/15 19:00,3355286.852
2018/4/15 20:00,4240512.717
2018/4/15 21:00,4201097.175
2018/4/15 22:00,1531395.317
2018/4/15 23:00,2982778.717
2018/4/16 0:00,3201601.417
2018/4/16 1:00,3077885.033
2018/4/16 2:00,4344425.804
2018/4/16 3:00,3474844.733
2018/4/16 4:00,4262212.367
2018/4/16 5:00,1879116.1
2018/4/16 6:00,3046570.5
2018/4/16 7:00,1541227.967
2018/4/16 8:00,2896729.267
2018/4/16 9:00,2598471.2
2018/4/16 10:00,3749015.283
2018/4/16 11:00,3926303.684
2018/4/16 12:00,3246438.117
2018/4/16 13:00,4488966.4
2018/4/16 14:00,3911401.411
2018/4/16 15:00,3870277.7
2018/4/16 16:00,4360947.983
2018/4/16 17:00,3632284.05
2018/4/16 18:00,4460932.367
2018/4/16 19:00,5581637.536
2018/4/16 20:00,4959313.067
2018/4/16 21:00,4886801.179
2018/4/16 22:00,4739158.704
2018/4/16 23:00,2988439.633
2018/4/17 0:00,3098903.917
2018/4/17 1:00,3470538.233
2018/4/17 2:00,5590055.596
2018/4/17 3:00,3790991.283
2018/4/17 4:00,3416108.967
2018/4/17 5:00,2306148.167
2018/4/17 6:00,2572644.233
2018/4/17 7:00,2226388.583
2018/4/17 8:00,3592435.133
2018/4/17 9:00,4164758.433
2018/4/17 10:00,3246992.783
2018/4/17 11:00,3840179.75
2018/4/17 12:00,3703582.983
2018/4/17 13:00,3817543.083
2018/4/17 14:00,4019553.667
2018/4/17 15:00,3948150.217
2018/4/17 16:00,4215627.983
2018/4/17 17:00,4354812.237
2018/4/17 18:00,3418434.633
2018/4/17 19:00,4755015.5
2018/4/17 20:00,5330465.321
2018/4/17 21:00,2831140.467
2018/4/17 22:00,4203846.136
2018/4/17 23:00,2874794.267
2018/4/18 0:00,3828880.767
2018/4/18 1:00,3941799.767
2018/4/18 2:00,2731407.283
2018/4/18 3:00,3029024.7
2018/4/18 4:00,3296703.55
2018/4/18 5:00,2522798.3
2018/4/18 6:00,3047378.283
2018/4/18 7:00,3186455.817
2018/4/18 8:00,3064248.75
2018/4/18 9:00,4241996.211
2018/4/18 10:00,4417025.566
2018/4/18 11:00,4479836.596
2018/4/18 12:00,5013711.286
2018/4/18 13:00,2249107.283
2018/4/18 14:00,3250939.417
2018/4/18 15:00,3540465.85
2018/4/18 16:00,2524344.85
2018/4/18 17:00,2580513.05
2018/4/18 18:00,3836436.6
2018/4/18 19:00,4131841.317
2018/4/18 20:00,3890341.61
2018/4/18 21:00,4586085.576
2018/4/18 22:00,2507284.8
2018/4/18 23:00,2606457.75
2018/4/19 0:00,2853066.583
2018/4/19 1:00,2475818.017
2018/4/19 2:00,3553749.627
2018/4/19 3:00,3914117.2
2018/4/19 4:00,5298142.207
2018/4/19 5:00,4457911.05
2018/4/19 6:00,3379087.317
2018/4/19 7:00,2668567.2
2018/4/19 8:00,1855680.217
2018/4/19 9:00,2667002.55
2018/4/19 10:00,4188138.633
2018/4/19 11:00,2407014
2018/4/19 12:00,3955902.433
2018/4/19 13:00,1612426.283
2018/4/19 14:00,2339184.367
2018/4/19 15:00,3899462.051
2018/4/19 16:00,3015103.317
2018/4/19 17:00,3308592.7
2018/4/19 18:00,3030778
2018/4/19 19:00,3803698.737
2018/4/19 20:00,4030602.817
2018/4/19 21:00,3133157.1
2018/4/19 22:00,3775092.033
2018/4/19 23:00,5069837.4
2018/4/20 0:00,2660673.367
2018/4/20 1:00,4367382.379
2018/4/20 2:00,4771465.8
2018/4/20 3:00,3553009
2018/4/20 4:00,2585519.517
2018/4/20 5:00,2309609.967
2018/4/20 6:00,2274322.1
